region,event_type,event_year,threshold_percent,event_date
Foxe Basin,freeze-up,1991,50.0,1991-11-01 14:52:22.495687
Foxe Basin,freeze-up,1991,90.0,1991-12-07 23:13:43.182297
Foxe Basin,break-up,1992,10.0,1992-09-04 15:21:51.091703
Foxe Basin,break-up,1992,50.0,1992-07-30 03:06:17.002053
Foxe Basin,break-up,1992,90.0,1992-06-13 07:35:16.886227
Foxe Basin,freeze-up,1992,10.0,1992-10-24 03:26:04.868479
Foxe Basin,freeze-up,1992,50.0,1992-11-02 15:41:39.419137
Foxe Basin,freeze-up,1992,90.0,1992-12-17 01:44:21.573033
Foxe Basin,break-up,1993,10.0,1993-09-05 07:12:18.728323
Foxe Basin,break-up,1993,50.0,1993-07-13 00:29:03.986543
Foxe Basin,break-up,1993,90.0,1993-06-04 08:25:45.365853
Foxe Basin,freeze-up,1993,10.0,1993-10-28 09:00:53.731343
Foxe Basin,freeze-up,1993,50.0,1993-11-05 08:12:30.488599
Foxe Basin,freeze-up,1993,90.0,1993-12-20 00:39:27.799029
Foxe Basin,break-up,1994,10.0,1994-08-15 01:59:05.864661
Foxe Basin,break-up,1994,50.0,1994-07-11 14:20:13.129102
Foxe Basin,break-up,1994,90.0,1994-05-20 17:59:42.367346
Foxe Basin,freeze-up,1994,10.0,1994-10-23 23:51:23.793876
Foxe Basin,freeze-up,1994,50.0,1994-11-18 02:52:50.942111
Foxe Basin,freeze-up,1994,90.0,1995-01-03 17:37:36.912948
Foxe Basin,break-up,1995,10.0,1995-08-17 17:38:40.686695
Foxe Basin,break-up,1995,50.0,1995-07-10 05:43:55.842771
Foxe Basin,break-up,1995,90.0,1995-06-06 22:34:51.516709
Foxe Basin,freeze-up,1995,10.0,1995-10-27 15:38:48.311688
Foxe Basin,freeze-up,1995,50.0,1995-11-16 08:09:21.768530
Foxe Basin,freeze-up,1995,90.0,1995-12-12 06:44:15.737704
Foxe Basin,break-up,1996,10.0,1996-08-22 04:53:25.139972
Foxe Basin,break-up,1996,50.0,1996-07-14 17:56:35.951417
Foxe Basin,break-up,1996,90.0,1996-05-31 21:05:31.221719
Foxe Basin,freeze-up,1996,10.0,1996-10-22 09:26:08.693119
Foxe Basin,freeze-up,1996,50.0,1996-11-11 10:34:12.603706
Foxe Basin,freeze-up,1996,90.0,1996-12-23 12:54:54.321254
Foxe Basin,break-up,1997,10.0,1997-08-06 11:41:58.577075
Foxe Basin,break-up,1997,50.0,1997-07-09 18:45:44.394618
Foxe Basin,break-up,1997,90.0,1997-05-26 13:18:17.223151
Foxe Basin,freeze-up,1997,10.0,1997-10-19 04:38:05.419354
Foxe Basin,freeze-up,1997,50.0,1997-11-08 04:48:09.171974
Foxe Basin,freeze-up,1997,90.0,1997-12-17 12:18:16.446700
Foxe Basin,break-up,1998,10.0,1998-08-17 12:29:22.711864
Foxe Basin,break-up,1998,50.0,1998-07-08 03:27:48.740438
Foxe Basin,break-up,1998,90.0,1998-05-28 14:22:31.156812
Foxe Basin,freeze-up,1998,10.0,1998-11-04 05:04:08.275862
Foxe Basin,freeze-up,1998,50.0,1998-11-22 14:32:53.221757
Foxe Basin,freeze-up,1998,90.0,1999-01-09 09:07:57.876106
Foxe Basin,break-up,1999,10.0,1999-08-21 11:43:47.072208
Foxe Basin,break-up,1999,50.0,1999-07-13 05:24:47.425149
Foxe Basin,break-up,1999,90.0,1999-05-21 01:05:53.252480
Foxe Basin,freeze-up,1999,10.0,1999-10-20 09:29:02.430703
Foxe Basin,freeze-up,1999,50.0,1999-11-08 08:26:53.913043
Foxe Basin,freeze-up,1999,90.0,1999-12-27 03:54:53.617021
Foxe Basin,break-up,2000,10.0,2000-08-11 02:52:10.434782
Foxe Basin,break-up,2000,50.0,2000-07-11 17:24:29.572506
Foxe Basin,break-up,2000,90.0,2000-06-01 05:17:36.343526
Foxe Basin,freeze-up,2000,10.0,2000-10-25 13:07:07.364185
Foxe Basin,freeze-up,2000,50.0,2000-11-09 14:07:18.152783
