date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
1996-12-03,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,81875.0,27670.000000000004,43.23432343234324,14.611221122112214
1996-12-03,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,918125.0,654222.5,64.28884026258206,45.80989059080963
1996-12-27,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,868690.0,99.79661016949153,94.23077966101695
1996-12-27,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,100570.0,100.0,98.1170731707317
1996-12-27,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,198172.5,100.0,92.9841642228739
1996-12-27,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,137322.5,100.0,72.51353135313532
1996-12-27,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1305754.9999999998,99.86870897155362,91.43142231947482
1996-12-25,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,845630.0,99.79661016949153,91.72935593220339
1996-12-25,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,99435.0,100.0,97.00975609756097
1996-12-25,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,198232.50000000003,100.0,93.01231671554253
1996-12-25,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,141185.0,100.0,74.55313531353134
1996-12-25,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1285450.0000000002,99.86870897155362,90.00962800875276
1996-12-07,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,630625.0,367442.49999999994,68.40677966101694,39.858169491525416
1996-12-07,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,95322.50000000001,100.0,92.99756097560977
1996-12-07,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,179147.50000000006,100.0,84.05747800586512
1996-12-07,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,125000.0,50745.00000000001,66.006600660066,26.7960396039604
1996-12-07,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1072500.0,693432.5,75.0984682713348,48.55544857768053
1996-12-30,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,897162.5,99.79661016949153,97.3193220338983
1996-12-30,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,99457.5,100.0,97.03170731707317
1996-12-30,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,201350.00000000003,100.0,94.47507331378301
1996-12-30,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,151975.00000000003,100.0,80.25082508250827
1996-12-30,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1350985.0,99.86870897155362,94.59851203501094
1996-12-18,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,836250.0,696192.4999999999,90.71186440677967,75.51918644067796
