valid_pixel_count,total_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent,relative_coverage_percent,region
335,209375,6875,3828.740157480315,3.2835820895522385,1.8286520155129862,Hudson Bay
95,59375,3750,2106.299212598425,6.315789473684211,3.5474513054289267,Hudson Strait
430,268750,10625,5935.03937007874,3.953488372093023,2.2083867423548798,Gesamtregion
